Team,Head coach,Captain,Shirt sponsor
Atlanta United FC, Frank de Boer, Michael Parkhurst,American Family Insurance
Chicago Fire, Veljko Paunović, Dax McCarty,Motorola
FC Cincinnati, Yoann Damet[a], Kendall Waston,Mercy Health[8]
Colorado Rapids, Conor Casey[b], Tim Howard,Transamerica
Columbus Crew SC, Caleb Porter, Wil Trapp,Acura
D.C. United, Ben Olsen, Wayne Rooney,Leidos
FC Dallas, Luchi Gonzalez, Reto Ziegler,AdvoCare
Houston Dynamo, Wilmer Cabrera, DaMarcus Beasley,MD Anderson
LA Galaxy, Guillermo Barros Schelotto, Zlatan Ibrahimović,Herbalife
Los Angeles FC, Bob Bradley, Carlos Vela,YouTube TV
Minnesota United FC, Adrian Heath, Osvaldo Alonso,Target
Montreal Impact, Rémi Garde, Ignacio Piatti,Bank of Montreal
New England Revolution, Bruce Arena[c], Michael Mancienne,UnitedHealthcare
New York City FC, Domènec Torrent, Alexander Ring,Etihad Airways
New York Red Bulls, Chris Armas, Luis Robles,Red Bull
Orlando City SC, James O'Connor, Nani ,Orlando Health
Philadelphia Union, Jim Curtin, Alejandro Bedoya,Bimbo Bakeries USA
Portland Timbers, Giovanni Savarese, Diego Valeri,Alaska Airlines
Real Salt Lake, Mike Petke, Kyle Beckerman,LifeVantage
San Jose Earthquakes, Matías Almeyda, Chris Wondolowski,—
Seattle Sounders FC, Brian Schmetzer, Nicolás Lodeiro,Zulily
Sporting Kansas City, Peter Vermes, Matt Besler,Ivy Funds
Toronto FC, Greg Vanney, Michael Bradley,Bank of Montreal
Vancouver Whitecaps FC, Marc Dos Santos, Jon Erice,Bell Canada
